date,AAPL,AMZN,GOOGL,JPM,MSFT,NVDA,PFE,XOM
2016-04-01,0.011915778860172602,0.016556512980772813,0.011422579557835608,0.016007672459378827,0.014399787701122954,0.014522183093525539,0.012949698156083602,0.010004798842699317
2016-04-04,0.011888937943169352,0.016501743805409176,0.011494875077595761,0.016173112287483516,0.014322153729619253,0.014743888871449257,0.013544454548740892,0.010012412064312165
2016-04-05,0.01224803938875065,0.014652578414923205,0.011558264559245988,0.01623487242541947,0.014448123746240736,0.013657577846687521,0.01363069170183197,0.010236633926695448
2016-04-06,0.011189631334165805,0.015141933632543117,0.011240215386813423,0.014228127092909054,0.013432391749112203,0.013664216279121642,0.016221646483181477,0.010163775886483524
2016-04-07,0.012082227239604044,0.015604219967813806,0.011461999702381147,0.015058200351546673,0.013689701405951783,0.013908900618270072,0.016293710886389815,0.010388166490374216
2016-04-08,0.012083100105689372,0.015614081335349283,0.011326700096846859,0.014855792895461881,0.01349596216919286,0.013915213603124194,0.016125806803643297,0.01049376968452901
2016-04-11,0.012075342667747667,0.015608293628586511,0.011269578859486923,0.014830693288281495,0.013135073757104564,0.01378041307320126,0.016382701094819166,0.01047106308106393
2016-04-12,0.012124165395294456,0.01564109917472289,0.01111031011299873,0.014581439170852539,0.013013534001859582,0.013553533473686354,0.015921701675600815,0.009950791372850123
2016-04-13,0.010342350059463382,0.013533050201284674,0.009388300502539014,0.013564765263419412,0.011812361798097795,0.011970798137864587,0.016076024757167108,0.00970645354493432
2016-04-14,0.010354918042924405,0.013603134472863612,0.00935697945947952,0.013649864009695707,0.011773413377982937,0.011967205829612864,0.016050745695352753,0.009292276740606347
2016-04-15,0.011189164999291358,0.013578026403706865,0.009092190354974147,0.013853315388297654,0.01153442826255893,0.011746572147514135,0.01607379229354478,0.009328727035235936
2016-04-18,0.011784513565933267,0.013695779438937652,0.009163615746606856,0.013887409296827517,0.011643447298493793,0.011775903625938043,0.01598488840980881,0.009442582322848773
2016-04-19,0.011618656535021303,0.01319247382580571,0.008357801989726518,0.014158637764806943,0.010911012813191737,0.01230745734526623,0.016014228715617418,0.008223737589583197
2016-04-20,0.01146653610415512,0.013121268425514816,0.008393632052377645,0.013748122472936171,0.011236751534845513,0.011573386639432217,0.01569695624632995,0.00712132239824818
2016-04-21,0.01170348074868798,0.013150432193031159,0.008012513746387308,0.013939628193994469,0.010550975380938118,0.011581089583461986,0.01562517087932069,0.00708036619708971
2016-04-22,0.01172912130933237,0.013660233700632919,0.012976434050380455,0.013789607183424327,0.01686764815510943,0.01163053511702536,0.015546210958696386,0.007133911748475527
2016-04-25,0.011666025322228452,0.013388722511032354,0.012624487274371005,0.013760967774065425,0.016505941203966996,0.011390905159953934,0.014731418767579194,0.00717069991647807
2016-04-26,0.011750349204016559,0.013772327717204741,0.013199468415631568,0.013720514332550405,0.016652148891149406,0.011403469228489393,0.014495510080938611,0.007174326348999293
2016-04-27,0.015970921935577198,0.014189099444572322,0.013219877644695554,0.013718158618400571,0.016639483804235074,0.01175905097236634,0.013933044522435593,0.0072831662382752205
2016-04-28,0.016511697576902195,0.014241928766923435,0.013634585258368182,0.01379124121931453,0.016710278898147926,0.012438351150818216,0.013437356783160617,0.007392604301942771
2016-04-29,0.016569910561858647,0.02155100648686131,0.013666347969851342,0.013852155261762958,0.016640385895576475,0.012886592126884583,0.013515638314344615,0.00700223895390166
2016-05-02,0.016551757547433665,0.021967205300338955,0.013818676180036292,0.012962608940355043,0.016567163921404334,0.011982465606332286,0.013516786020796973,0.007103104858137324
2016-05-03,0.01695565556107093,0.02245589009571382,0.013717248690673482,0.01352264638938169,0.016695103008063296,0.012254223821963789,0.013846033338580591,0.007342628416561665
2016-05-04,0.016869659975800557,0.02247296327365001,0.013767649949837583,0.013852828938638045,0.016671885777577698,0.013032542592272376,0.013982847407530972,0.007328285510051006
2016-05-05,0.016904251346373467,0.02279967684238475,0.013821195344910534,0.013858483179665967,0.01668719413062126,0.012711424875820464,0.013869698150820245,0.007243654636552248
2016-05-06,0.01690619990771283,0.022777044338488664,0.014139277265451989,0.013793194165778878,0.016772774419902423,0.012833859752332989,0.01381693892595164,0.0072720702649279765
2016-05-09,0.016930230324418656,0.02269997009172915,0.014190522994582497,0.013855560256679113,0.01668406041464388,0.012719341282681096,0.013581422703517068,0.007271803036648277
2016-05-10,0.016244366522597524,0.02306045628955102,0.014083026766758008,0.013965558150405653,0.01654929672751763,0.012866806319030996,0.013576568854145519,0.00773019311858155
2016-05-11,0.015721721705754928,0.023110428393540314,0.014195419203148353,0.013874766348173886,0.01648252978920814,0.012740051503238207,0.01421688415172339,0.00821605049240141
2016-05-12,0.016059417337384356,0.022946756389083795,0.01416209059238164,0.013765408593873398,0.01658335819991166,0.012975037152233937,0.013831318369059755,0.007979168557943549
2016-05-13,0.01587619259792147,0.02317138747007673,0.014035268198538732,0.013775571932436077,0.016543184314676735,0.030605803097210824,0.013726502191122404,0.008165616712012427
2016-05-16,0.01751712262094043,0.023022805168443423,0.014117522328613354,0.013630600208692532,0.01684390913851912,0.030810979920872884,0.0132490272109252,0.008295798244105429
2016-05-17,0.017477319478394454,0.02335547727924688,0.014241639221388871,0.013311763209089032,0.0172065966945057,0.03078882460638341,0.013015429175259385,0.007892227757282896
2016-05-18,0.017508261908329614,0.02301181387519521,0.014010805841957024,0.014877508557972565,0.017114535799096817,0.03097849803621222,0.009322292124216735,0.007683419444143971
2016-05-19,0.017224373493997438,0.02261789333183452,0.013984477606149855,0.014121033008358737,0.01707560461076877,0.030813254114952105,0.009326914301744111,0.0073118313376662036
2016-05-20,0.017425072043758615,0.02261781062914951,0.014124198218950234,0.014104506610017681,0.01714293642768727,0.03087302593095279,0.009357670340400292,0.007294249967098331
2016-05-23,0.017648513660534736,0.02276337626653183,0.01414815976554006,0.014094643354306099,0.017228265026840845,0.030892290455799012,0.008588352333777614,0.007329834680209828
2016-05-24,0.01772650257591457,0.022750178774116954,0.01467830227257606,0.014038726577516286,0.01824053189472085,0.030951066018242858,0.008817118001559697,0.007090938014193442
2016-05-25,0.017844985359093676,0.02259892161785054,0.014609034062464499,0.012159736184127896,0.0181764906542142,0.03086491166709816,0.008351360526940885,0.0071084497857719356
2016-05-26,0.017956976894845558,0.022596289778632882,0.014566543091338612,0.01209887884175349,0.018178241193999897,0.030857889023101805,0.008346876074247018,0.007161594270019412
2016-05-27,0.017687468512693393,0.022641784810776302,0.014800213791276879,0.011879716103318795,0.018228499612352837,0.030860263123196084,0.008279597076911052,0.007036266125904649
2016-05-31,0.01733743029060449,0.022636994496934862,0.014662433979225844,0.011873917039038421,0.018182182306524568,0.03083267684913433,0.008276743294254206,0.007267642300659033
2016-06-01,0.0174620720237673,0.022497822098483278,0.014457969796609398,0.011561387485784185,0.018182382512120995,0.03046432294971151,0.00818613891987807,0.007237163080823594
2016-06-02,0.017461660892018872,0.022531420793082724,0.014480923777772112,0.011289184181861141,0.018063173958421948,0.0304515936302229,0.00803563039383925,0.0073412662352447585
2016-06-03,0.01741851435339369,0.022538612246670982,0.014516312164704896,0.011632665737790622,0.018152553498444943,0.030689710674630534,0.008128343412835637,0.007354107940534058
2016-06-06,0.017508672705659003,0.022180403688484975,0.01073250545857638,0.011719319354302404,0.012613246609930615,0.030709078244515638,0.008188203297417715,0.00745773157525354
2016-06-07,0.017531181969477536,0.02223725782975503,0.010671854932917281,0.011681194321989073,0.012561598918457472,0.0307261686891946,0.00820067626018394,0.007894783756382995
2016-06-08,0.017504975929782476,0.02191800615424848,0.010229587211234356,0.01165927756972878,0.012325795074322526,0.030769845691493262,0.008309302396530946,0.007884690449020175
2016-06-09,0.013243048770633144,0.02152543260316256,0.010165780038172149,0.011751747564019994,0.01228242421063451,0.030827757946663956,0.008280666220646974,0.007739704190777078
2016-06-10,0.011993332821143586,0.021681061121524108,0.009494347577652613,0.011952267543445146,0.011651158119080558,0.030632921653713598,0.008244831753894387,0.007825472118680434
